assignee,completion_date,estimated_completion_date,task_priority,sub_task,remain_sub_task_level,actual_duration,start_date,total_assign_task
David,2025-05-11 16:45:13.439210,2025-05-11 16:45:13.439210,high,4 pending subtasks,medium,7,2025-05-04 16:45:13.439210,17
Heidi,2025-04-29 16:45:13.439210,2025-04-28 16:45:13.439210,low,3 pending subtasks,very low,4,2025-04-25 16:45:13.439210,1
David,2025-04-30 16:45:13.439210,2025-04-30 16:45:13.439210,very low,1 pending subtasks,very low,12,2025-04-18 16:45:13.439210,8
Bob,2025-05-01 16:45:13.439210,2025-05-01 16:45:13.439210,medium,5 pending subtasks,very low,2,2025-04-29 16:45:13.439210,8
Eve,2025-03-25 16:45:13.439210,2025-03-25 16:45:13.439210,low,2 pending subtasks,very high,9,2025-03-16 16:45:13.439210,19
Heidi,2025-04-22 16:45:13.440226,2025-04-21 16:45:13.440226,high,2 pending subtasks,high,5,2025-04-17 16:45:13.440226,4
Bob,2025-05-15 16:45:13.440226,2025-05-15 16:45:13.440226,medium,4 pending subtasks,high,4,2025-05-11 16:45:13.440226,15
Alice,2025-04-27 16:45:13.440226,2025-04-27 16:45:13.440226,very low,4 pending subtasks,very low,12,2025-04-15 16:45:13.440226,11
Bob,2025-05-18 16:45:13.440226,2025-05-16 16:45:13.440226,low,4 pending subtasks,very high,12,2025-05-06 16:45:13.440226,5
Grace,2025-05-08 16:45:13.440226,2025-05-07 16:45:13.440226,high,1 pending subtasks,low,3,2025-05-05 16:45:13.440226,15
Bob,2025-04-30 16:45:13.440226,2025-04-29 16:45:13.440226,very high,1 pending subtasks,very low,1,2025-04-29 16:45:13.440226,8
Charlie,2025-04-09 16:45:13.440226,2025-04-08 16:45:13.440226,high,4 pending subtasks,low,2,2025-04-07 16:45:13.440226,2
Charlie,2025-04-07 16:45:13.440226,2025-04-06 16:45:13.440226,high,4 pending subtasks,medium,4,2025-04-03 16:45:13.440226,10
Grace,2025-05-25 16:45:13.440226,2025-05-26 16:45:13.440226,very high,2 pending subtasks,high,14,2025-05-11 16:45:13.440226,7
Eve,2025-05-13 16:45:13.440226,2025-05-12 16:45:13.440226,very low,5 pending subtasks,very high,6,2025-05-07 16:45:13.440226,2
Frank,2025-04-05 16:45:13.440226,2025-04-04 16:45:13.440226,very high,5 pending subtasks,high,4,2025-04-01 16:45:13.440226,17
Charlie,2025-04-02 16:45:13.440226,2025-03-30 16:45:13.440226,very high,2 pending subtasks,very low,13,2025-03-20 16:45:13.440226,3
Bob,2025-05-05 16:45:13.440226,2025-05-05 16:45:13.440226,low,1 pending subtasks,high,10,2025-04-25 16:45:13.440226,19
David,2025-04-01 16:45:13.440226,2025-04-01 16:45:13.440226,very low,1 pending subtasks,very high,2,2025-03-30 16:45:13.440226,14
Frank,2025-05-17 16:45:13.440226,2025-05-19 16:45:13.440226,low,2 pending subtasks,medium,14,2025-05-03 16:45:13.440226,9
Grace,2025-04-21 16:45:13.440226,2025-04-18 16:45:13.440226,medium,3 pending subtasks,high,14,2025-04-07 16:45:13.440226,3
Alice,2025-04-20 16:45:13.440226,2025-04-19 16:45:13.440226,very high,1 pending subtasks,very low,8,2025-04-12 16:45:13.440226,18
David,2025-05-06 16:45:13.440226,2025-05-06 16:45:13.440226,low,1 pending subtasks,medium,7,2025-04-29 16:45:13.440226,8
Frank,2025-03-23 16:45:13.440226,2025-03-22 16:45:13.440226,high,3 pending subtasks,very high,9,2025-03-14 16:45:13.440226,20
Alice,2025-04-08 16:45:13.440226,2025-04-08 16:45:13.440226,very high,1 pending subtasks,medium,5,2025-04-03 16:45:13.440226,5
Eve,2025-05-10 16:45:13.440226,2025-05-08 16:45:13.440226,very low,2 pending subtasks,very high,13,2025-04-27 16:45:13.440226,9
Eve,2025-04-30 16:45:13.440226,2025-04-30 16:45:13.440226,medium,3 pending subtasks,low,5,2025-04-25 16:45:13.440226,17
Heidi,2025-04-29 16:45:13.440226,2025-04-28 16:45:13.440226,very low,4 pending subtasks,very low,10,2025-04-19 16:45:13.440226,9
Alice,2025-04-30 16:45:13.440226,2025-04-27 16:45:13.440226,low,2 pending subtasks,medium,12,2025-04-18 16:45:13.440226,15
Grace,2025-03-26 16:45:13.440226,2025-03-26 16:45:13.440226,very low,2 pending subtasks,very low,12,2025-03-14 16:45:13.440226,18
Alice,2025-04-07 16:45:13.440226,2025-04-08 16:45:13.440226,very high,2 pending subtasks,very high,9,2025-03-29 16:45:13.440226,14
Charlie,2025-04-27 16:45:13.440226,2025-04-24 16:45:13.440226,medium,3 pending subtasks,very low,13,2025-04-14 16:45:13.440226,7
David,2025-05-21 16:45:13.440226,2025-05-21 16:45:13.440226,medium,4 pending subtasks,very high,9,2025-05-12 16:45:13.440226,20
Charlie,2025-05-15 16:45:13.440226,2025-05-16 16:45:13.440226,low,2 pending subtasks,low,9,2025-05-06 16:45:13.440226,14
Alice,2025-04-20 16:45:13.440226,2025-04-19 16:45:13.440226,medium,2 pending subtasks,high,1,2025-04-19 16:45:13.440226,9
Charlie,2025-04-07 16:45:13.440226,2025-04-07 16:45:13.440226,very low,1 pending subtasks,high,8,2025-03-30 16:45:13.440226,16
David,2025-04-30 16:45:13.440226,2025-04-28 16:45:13.440226,high,3 pending subtasks,medium,11,2025-04-19 16:45:13.440226,8
David,2025-03-24 16:45:13.440226,2025-03-23 16:45:13.440226,low,3 pending subtasks,high,1,2025-03-23 16:45:13.440226,9
Bob,2025-05-08 16:45:13.440226,2025-05-08 16:45:13.440226,medium,5 pending subtasks,medium,3,2025-05-05 16:45:13.440226,13
Frank,2025-04-09 16:45:13.440226,2025-04-09 16:45:13.440226,very low,2 pending subtasks,medium,1,2025-04-08 16:45:13.440226,19
Eve,2025-03-20 16:45:13.440226,2025-03-19 16:45:13.440226,very high,3 pending subtasks,high,5,2025-03-15 16:45:13.440226,11
Grace,2025-04-08 16:45:13.441217,2025-04-08 16:45:13.441217,very high,4 pending subtasks,very low,7,2025-04-01 16:45:13.441217,19
David,2025-03-25 16:45:13.441217,2025-03-24 16:45:13.441217,high,5 pending subtasks,very low,9,2025-03-16 16:45:13.441217,18
David,2025-04-22 16:45:13.441217,2025-04-21 16:45:13.441217,very low,5 pending subtasks,medium,7,2025-04-15 16:45:13.441217,11
Bob,2025-05-12 16:45:13.441217,2025-05-12 16:45:13.441217,medium,3 pending subtasks,very high,8,2025-05-04 16:45:13.441217,14
Frank,2025-05-03 16:45:13.441217,2025-05-02 16:45:13.441217,medium,2 pending subtasks,very high,2,2025-05-01 16:45:13.441217,7
Grace,2025-04-17 16:45:13.441217,2025-04-17 16:45:13.441217,high,5 pending subtasks,low,7,2025-04-10 16:45:13.441217,19
Eve,2025-05-04 16:45:13.441217,2025-05-03 16:45:13.441217,very low,3 pending subtasks,medium,14,2025-04-20 16:45:13.441217,7
Grace,2025-04-24 16:45:13.441217,2025-04-24 16:45:13.441217,very high,4 pending subtasks,medium,5,2025-04-19 16:45:13.441217,15
Heidi,2025-04-20 16:45:13.441217,2025-04-20 16:45:13.441217,very high,2 pending subtasks,high,12,2025-04-08 16:45:13.441217,3
Eve,2025-04-09 16:45:13.441217,2025-04-09 16:45:13.441217,very high,1 pending subtasks,medium,6,2025-04-03 16:45:13.441217,8
Eve,2025-04-19 16:45:13.441217,2025-04-18 16:45:13.441217,low,1 pending subtasks,low,3,2025-04-16 16:45:13.441217,2
David,2025-05-15 16:45:13.441217,2025-05-15 16:45:13.441217,very high,4 pending subtasks,very low,3,2025-05-12 16:45:13.441217,14
David,2025-04-20 16:45:13.441217,2025-04-21 16:45:13.441217,high,4 pending subtasks,high,14,2025-04-06 16:45:13.441217,8
Charlie,2025-05-11 16:45:13.441217,2025-05-11 16:45:13.441217,very low,4 pending subtasks,very low,1,2025-05-10 16:45:13.441217,8
Charlie,2025-05-18 16:45:13.441217,2025-05-19 16:45:13.441217,very high,1 pending subtasks,high,10,2025-05-08 16:45:13.441217,18
David,2025-04-02 16:45:13.441217,2025-04-04 16:45:13.441217,very low,2 pending subtasks,high,14,2025-03-19 16:45:13.441217,15
Frank,2025-04-15 16:45:13.441217,2025-04-16 16:45:13.441217,high,5 pending subtasks,very high,11,2025-04-04 16:45:13.441217,14
Heidi,2025-05-14 16:45:13.441217,2025-05-15 16:45:13.441217,high,3 pending subtasks,high,10,2025-05-04 16:45:13.441217,8
Eve,2025-04-13 16:45:13.441217,2025-04-14 16:45:13.441217,very high,2 pending subtasks,high,12,2025-04-01 16:45:13.441217,9
Heidi,2025-05-03 16:45:13.441217,2025-05-02 16:45:13.441217,medium,3 pending subtasks,low,3,2025-04-30 16:45:13.441217,11
Frank,2025-04-18 16:45:13.441217,2025-04-19 16:45:13.441217,very low,2 pending subtasks,low,7,2025-04-11 16:45:13.441217,8
Grace,2025-03-29 16:45:13.441217,2025-03-29 16:45:13.441217,low,4 pending subtasks,very low,4,2025-03-25 16:45:13.441217,14
Frank,2025-04-15 16:45:13.441217,2025-04-15 16:45:13.441217,high,2 pending subtasks,very low,4,2025-04-11 16:45:13.441217,14
Grace,2025-04-18 16:45:13.441217,2025-04-18 16:45:13.441217,very high,5 pending subtasks,very low,5,2025-04-13 16:45:13.441217,13
Heidi,2025-04-27 16:45:13.441217,2025-04-25 16:45:13.441217,medium,4 pending subtasks,medium,7,2025-04-20 16:45:13.441217,14
David,2025-04-09 16:45:13.441217,2025-04-08 16:45:13.441217,medium,4 pending subtasks,high,11,2025-03-29 16:45:13.441217,1
Grace,2025-04-18 16:45:13.441217,2025-04-17 16:45:13.441217,high,4 pending subtasks,low,4,2025-04-14 16:45:13.441217,5
Alice,2025-05-07 16:45:13.441217,2025-05-08 16:45:13.441217,very high,1 pending subtasks,very high,7,2025-04-30 16:45:13.441217,3
Grace,2025-03-18 16:45:13.441217,2025-03-17 16:45:13.441217,high,1 pending subtasks,low,3,2025-03-15 16:45:13.441217,9
Grace,2025-05-03 16:45:13.441217,2025-05-02 16:45:13.441217,high,3 pending subtasks,medium,12,2025-04-21 16:45:13.441217,13
Eve,2025-05-21 16:45:13.441217,2025-05-22 16:45:13.441217,high,1 pending subtasks,medium,10,2025-05-11 16:45:13.441217,16
Alice,2025-04-12 16:45:13.441217,2025-04-13 16:45:13.441217,very low,2 pending subtasks,medium,14,2025-03-29 16:45:13.441217,3
Alice,2025-03-22 16:45:13.441217,2025-03-22 16:45:13.441217,low,1 pending subtasks,low,5,2025-03-17 16:45:13.441217,20
Charlie,2025-05-19 16:45:13.441217,2025-05-17 16:45:13.441217,high,5 pending subtasks,very low,12,2025-05-07 16:45:13.441217,7
Heidi,2025-04-27 16:45:13.441217,2025-04-27 16:45:13.441217,medium,5 pending subtasks,low,12,2025-04-15 16:45:13.441217,20
Bob,2025-04-03 16:45:13.442218,2025-04-03 16:45:13.442218,low,1 pending subtasks,medium,4,2025-03-30 16:45:13.442218,19
Alice,2025-04-27 16:45:13.442218,2025-04-29 16:45:13.442218,very high,4 pending subtasks,high,14,2025-04-13 16:45:13.442218,7
Bob,2025-05-12 16:45:13.442218,2025-05-12 16:45:13.442218,low,3 pending subtasks,very low,10,2025-05-02 16:45:13.442218,20
Bob,2025-03-31 16:45:13.442218,2025-04-01 16:45:13.442218,very high,3 pending subtasks,very low,12,2025-03-19 16:45:13.442218,18
Grace,2025-04-25 16:45:13.442218,2025-04-25 16:45:13.442218,very low,3 pending subtasks,very high,7,2025-04-18 16:45:13.442218,1
Grace,2025-04-11 16:45:13.442218,2025-04-11 16:45:13.442218,very low,3 pending subtasks,high,1,2025-04-10 16:45:13.442218,15
Charlie,2025-03-28 16:45:13.442218,2025-03-27 16:45:13.442218,very high,5 pending subtasks,medium,11,2025-03-17 16:45:13.442218,18
Heidi,2025-03-21 16:45:13.442218,2025-03-20 16:45:13.442218,very high,3 pending subtasks,medium,4,2025-03-17 16:45:13.442218,8
Bob,2025-05-09 16:45:13.442218,2025-05-08 16:45:13.442218,high,4 pending subtasks,low,9,2025-04-30 16:45:13.442218,19
Grace,2025-05-17 16:45:13.442218,2025-05-16 16:45:13.442218,high,2 pending subtasks,medium,7,2025-05-10 16:45:13.442218,16
David,2025-05-15 16:45:13.442218,2025-05-14 16:45:13.442218,medium,3 pending subtasks,medium,8,2025-05-07 16:45:13.442218,20
Eve,2025-04-25 16:45:13.442218,2025-04-25 16:45:13.442218,very high,1 pending subtasks,low,9,2025-04-16 16:45:13.442218,8
Grace,2025-04-07 16:45:13.442218,2025-04-06 16:45:13.442218,low,4 pending subtasks,high,1,2025-04-06 16:45:13.442218,15
Alice,2025-04-02 16:45:13.442218,2025-03-31 16:45:13.442218,low,2 pending subtasks,high,10,2025-03-23 16:45:13.442218,10
Frank,2025-04-07 16:45:13.442218,2025-04-06 16:45:13.442218,very high,4 pending subtasks,medium,8,2025-03-30 16:45:13.442218,18
Frank,2025-05-09 16:45:13.442218,2025-05-08 16:45:13.442218,high,3 pending subtasks,medium,11,2025-04-28 16:45:13.442218,9
David,2025-03-28 16:45:13.442218,2025-03-26 16:45:13.442218,low,1 pending subtasks,medium,8,2025-03-20 16:45:13.442218,18
Charlie,2025-04-06 16:45:13.442218,2025-04-05 16:45:13.442218,high,5 pending subtasks,medium,4,2025-04-02 16:45:13.442218,17
Eve,2025-04-08 16:45:13.442218,2025-04-10 16:45:13.442218,low,2 pending subtasks,medium,14,2025-03-25 16:45:13.442218,12
Charlie,2025-04-04 16:45:13.442218,2025-04-03 16:45:13.442218,very high,3 pending subtasks,low,10,2025-03-25 16:45:13.442218,2
Alice,2025-04-03 16:45:13.442218,2025-04-03 16:45:13.442218,low,1 pending subtasks,high,12,2025-03-22 16:45:13.442218,1
Eve,2025-04-06 16:45:13.442218,2025-04-05 16:45:13.442218,high,2 pending subtasks,medium,2,2025-04-04 16:45:13.442218,2
Eve,2025-05-11 16:45:13.442218,2025-05-11 16:45:13.442218,high,1 pending subtasks,very low,1,2025-05-10 16:45:13.442218,13
Heidi,2025-04-07 16:45:13.442218,2025-04-06 16:45:13.442218,very low,2 pending subtasks,low,1,2025-04-06 16:45:13.442218,19
Eve,2025-03-19 16:45:13.442218,2025-03-18 16:45:13.442218,low,5 pending subtasks,very low,1,2025-03-18 16:45:13.442218,14
David,2025-03-16 16:45:13.442218,2025-03-16 16:45:13.442218,high,4 pending subtasks,high,1,2025-03-15 16:45:13.442218,10
Grace,2025-05-13 16:45:13.442218,2025-05-12 16:45:13.442218,very high,5 pending subtasks,very low,2,2025-05-11 16:45:13.442218,4
David,2025-04-21 16:45:13.442218,2025-04-21 16:45:13.442218,medium,2 pending subtasks,very low,6,2025-04-15 16:45:13.442218,8
Charlie,2025-04-25 16:45:13.442218,2025-04-25 16:45:13.442218,low,4 pending subtasks,very low,5,2025-04-20 16:45:13.442218,15
Heidi,2025-04-12 16:45:13.442218,2025-04-11 16:45:13.442218,low,3 pending subtasks,medium,1,2025-04-11 16:45:13.442218,15
Bob,2025-05-15 16:45:13.442218,2025-05-15 16:45:13.442218,medium,2 pending subtasks,very high,3,2025-05-12 16:45:13.442218,14
Bob,2025-05-16 16:45:13.442218,2025-05-16 16:45:13.442218,low,2 pending subtasks,medium,5,2025-05-11 16:45:13.442218,3
Alice,2025-04-09 16:45:13.442218,2025-04-07 16:45:13.442218,medium,5 pending subtasks,very high,10,2025-03-30 16:45:13.442218,10
Heidi,2025-04-17 16:45:13.442218,2025-04-16 16:45:13.442218,medium,3 pending subtasks,high,6,2025-04-11 16:45:13.442218,17
Heidi,2025-04-18 16:45:13.442218,2025-04-17 16:45:13.442218,very high,4 pending subtasks,very low,7,2025-04-11 16:45:13.442218,11
Eve,2025-05-16 16:45:13.442218,2025-05-14 16:45:13.442218,low,5 pending subtasks,very high,7,2025-05-09 16:45:13.442218,1
Eve,2025-05-10 16:45:13.442218,2025-05-10 16:45:13.442218,low,5 pending subtasks,high,8,2025-05-02 16:45:13.442218,15
Eve,2025-03-16 16:45:13.442218,2025-03-15 16:45:13.442218,very high,4 pending subtasks,high,1,2025-03-15 16:45:13.442218,3
Heidi,2025-04-13 16:45:13.443214,2025-04-12 16:45:13.443214,medium,1 pending subtasks,medium,8,2025-04-05 16:45:13.443214,6
Frank,2025-05-12 16:45:13.443214,2025-05-11 16:45:13.443214,high,4 pending subtasks,medium,4,2025-05-08 16:45:13.443214,18
Alice,2025-04-15 16:45:13.443214,2025-04-14 16:45:13.443214,medium,3 pending subtasks,medium,6,2025-04-09 16:45:13.443214,4
Grace,2025-05-02 16:45:13.443214,2025-05-03 16:45:13.443214,very low,4 pending subtasks,very high,11,2025-04-21 16:45:13.443214,14
Alice,2025-03-27 16:45:13.443214,2025-03-26 16:45:13.443214,medium,4 pending subtasks,very high,1,2025-03-26 16:45:13.443214,15
Alice,2025-05-16 16:45:13.443214,2025-05-14 16:45:13.443214,very high,3 pending subtasks,low,12,2025-05-04 16:45:13.443214,15
Heidi,2025-03-21 16:45:13.443214,2025-03-20 16:45:13.443214,very high,2 pending subtasks,low,6,2025-03-15 16:45:13.443214,10
Alice,2025-05-10 16:45:13.443214,2025-05-10 16:45:13.443214,very low,1 pending subtasks,low,13,2025-04-27 16:45:13.443214,15
Bob,2025-05-14 16:45:13.443214,2025-05-14 16:45:13.443214,low,3 pending subtasks,high,4,2025-05-10 16:45:13.443214,17
Eve,2025-03-25 16:45:13.443214,2025-03-24 16:45:13.443214,high,2 pending subtasks,high,11,2025-03-14 16:45:13.443214,15
Charlie,2025-04-10 16:45:13.443214,2025-04-09 16:45:13.443214,very high,2 pending subtasks,very high,3,2025-04-07 16:45:13.443214,3
Eve,2025-04-20 16:45:13.443214,2025-04-20 16:45:13.443214,high,5 pending subtasks,medium,3,2025-04-17 16:45:13.443214,9
Alice,2025-04-28 16:45:13.443214,2025-04-27 16:45:13.443214,medium,5 pending subtasks,very high,4,2025-04-24 16:45:13.443214,16
Charlie,2025-04-18 16:45:13.443214,2025-04-17 16:45:13.443214,high,3 pending subtasks,medium,7,2025-04-11 16:45:13.443214,18
Grace,2025-03-31 16:45:13.443214,2025-03-30 16:45:13.443214,medium,2 pending subtasks,low,9,2025-03-22 16:45:13.443214,19
Grace,2025-04-18 16:45:13.443214,2025-04-17 16:45:13.443214,high,3 pending subtasks,very low,8,2025-04-10 16:45:13.443214,16
Grace,2025-04-06 16:45:13.443214,2025-04-05 16:45:13.443214,low,1 pending subtasks,high,2,2025-04-04 16:45:13.443214,5
Frank,2025-04-04 16:45:13.443214,2025-04-04 16:45:13.443214,high,5 pending subtasks,very low,1,2025-04-03 16:45:13.443214,15
Alice,2025-05-14 16:45:13.443214,2025-05-15 16:45:13.443214,high,1 pending subtasks,low,12,2025-05-02 16:45:13.443214,16
Eve,2025-03-26 16:45:13.443214,2025-03-25 16:45:13.443214,high,3 pending subtasks,very low,9,2025-03-17 16:45:13.443214,18
Grace,2025-03-31 16:45:13.443214,2025-04-01 16:45:13.443214,high,1 pending subtasks,very high,7,2025-03-24 16:45:13.443214,20
Bob,2025-04-26 16:45:13.443214,2025-04-24 16:45:13.443214,medium,1 pending subtasks,low,14,2025-04-12 16:45:13.443214,14
Bob,2025-04-04 16:45:13.443214,2025-04-04 16:45:13.443214,very low,2 pending subtasks,high,3,2025-04-01 16:45:13.443214,10
Alice,2025-05-18 16:45:13.443214,2025-05-15 16:45:13.443214,very low,3 pending subtasks,medium,12,2025-05-06 16:45:13.443214,12
Grace,2025-05-07 16:45:13.443214,2025-05-05 16:45:13.443214,very high,5 pending subtasks,high,10,2025-04-27 16:45:13.443214,6
Charlie,2025-04-04 16:45:13.443214,2025-04-02 16:45:13.443214,very high,5 pending subtasks,high,9,2025-03-26 16:45:13.443214,8
Heidi,2025-04-03 16:45:13.443214,2025-04-04 16:45:13.443214,low,4 pending subtasks,low,12,2025-03-22 16:45:13.443214,9
Heidi,2025-03-27 16:45:13.443214,2025-03-26 16:45:13.443214,very low,3 pending subtasks,high,2,2025-03-25 16:45:13.443214,18
Charlie,2025-05-26 16:45:13.443214,2025-05-23 16:45:13.443214,medium,3 pending subtasks,very high,14,2025-05-12 16:45:13.443214,14
Eve,2025-05-06 16:45:13.443214,2025-05-05 16:45:13.443214,medium,4 pending subtasks,low,5,2025-05-01 16:45:13.443214,16
Bob,2025-04-17 16:45:13.443214,2025-04-15 16:45:13.443214,very high,5 pending subtasks,medium,11,2025-04-06 16:45:13.443214,10
Eve,2025-03-28 16:45:13.443214,2025-03-26 16:45:13.443214,high,1 pending subtasks,medium,9,2025-03-19 16:45:13.443214,19
Alice,2025-04-05 16:45:13.443214,2025-04-05 16:45:13.443214,high,2 pending subtasks,medium,3,2025-04-02 16:45:13.443214,20
Frank,2025-04-27 16:45:13.443214,2025-04-26 16:45:13.443214,low,3 pending subtasks,very high,3,2025-04-24 16:45:13.443214,5
Bob,2025-05-01 16:45:13.443214,2025-05-02 16:45:13.443214,very low,4 pending subtasks,medium,8,2025-04-23 16:45:13.443214,2
Frank,2025-03-28 16:45:13.443214,2025-03-28 16:45:13.443214,very low,3 pending subtasks,medium,8,2025-03-20 16:45:13.443214,14
Charlie,2025-04-18 16:45:13.443214,2025-04-17 16:45:13.443214,very high,5 pending subtasks,medium,8,2025-04-10 16:45:13.443214,17
Eve,2025-04-02 16:45:13.444213,2025-04-03 16:45:13.444213,medium,3 pending subtasks,high,11,2025-03-22 16:45:13.444213,11
Bob,2025-04-02 16:45:13.444213,2025-04-01 16:45:13.444213,very low,2 pending subtasks,low,8,2025-03-25 16:45:13.444213,13
Frank,2025-04-13 16:45:13.444213,2025-04-12 16:45:13.444213,high,3 pending subtasks,very low,6,2025-04-07 16:45:13.444213,18
Bob,2025-04-07 16:45:13.444213,2025-04-06 16:45:13.444213,medium,4 pending subtasks,very high,4,2025-04-03 16:45:13.444213,12
Bob,2025-04-22 16:45:13.444213,2025-04-22 16:45:13.444213,high,5 pending subtasks,very low,14,2025-04-08 16:45:13.444213,18
Frank,2025-04-21 16:45:13.444213,2025-04-21 16:45:13.444213,low,4 pending subtasks,very low,3,2025-04-18 16:45:13.444213,10
Grace,2025-05-01 16:45:13.444213,2025-04-29 16:45:13.444213,very low,3 pending subtasks,very low,13,2025-04-18 16:45:13.444213,16
Bob,2025-05-09 16:45:13.444213,2025-05-06 16:45:13.444213,very high,4 pending subtasks,low,14,2025-04-25 16:45:13.444213,15
Frank,2025-04-27 16:45:13.444213,2025-04-27 16:45:13.444213,very high,5 pending subtasks,high,2,2025-04-25 16:45:13.444213,5
Grace,2025-03-23 16:45:13.444213,2025-03-23 16:45:13.444213,high,4 pending subtasks,very high,3,2025-03-20 16:45:13.444213,9
Alice,2025-05-10 16:45:13.444213,2025-05-10 16:45:13.444213,low,4 pending subtasks,high,13,2025-04-27 16:45:13.444213,8
Frank,2025-04-06 16:45:13.444213,2025-04-05 16:45:13.444213,medium,3 pending subtasks,very high,4,2025-04-02 16:45:13.444213,2
Grace,2025-04-14 16:45:13.444213,2025-04-13 16:45:13.444213,very low,1 pending subtasks,high,4,2025-04-10 16:45:13.444213,7
Alice,2025-04-24 16:45:13.444213,2025-04-21 16:45:13.444213,medium,2 pending subtasks,low,14,2025-04-10 16:45:13.444213,19
David,2025-04-26 16:45:13.444213,2025-04-25 16:45:13.444213,very high,5 pending subtasks,low,4,2025-04-22 16:45:13.444213,7
David,2025-03-26 16:45:13.444213,2025-03-25 16:45:13.444213,low,1 pending subtasks,very high,8,2025-03-18 16:45:13.444213,9
Charlie,2025-05-09 16:45:13.444213,2025-05-09 16:45:13.444213,very high,2 pending subtasks,medium,3,2025-05-06 16:45:13.444213,4
Alice,2025-04-27 16:45:13.444213,2025-04-26 16:45:13.444213,medium,5 pending subtasks,low,1,2025-04-26 16:45:13.444213,11
